,0
4h_ret_2,677
4h_sma_7_dev,624
4h_ema_9_dev,598
4h_price_pos_12,526
1h_ret_3,484
4h_taker_buy_ratio,467
1h_price_pos_48,461
1h_ret_4,452
4h_ret_1,428
1h_ret_2,403
1h_upper_shadow,402
1h_ret_6,393
4h_upper_shadow,372
btc_ret_lag2,367
4h_ret_per_trade,362
4h_body,348
1d_ret_1,323
1h_trade_intensity_chg,318
4h_lower_shadow,311
1h_avg_trade_size_norm,307
1h_sma_7_dev,299
4h_macd_hist_chg,290
1h_vol_ratio_6,289
1h_tbr_ma_3,288
1h_sma_20_dev,285
1h_roc_20,277
btc_ret_lag1,276
1h_stoch_kd_diff,262
4h_tbr_ma_3,253
1h_obv_slope,252
