label,mean_prob,fraction_pos,calibration_error,count
0%–10%,1e-07,0.0,1e-07,1
10%–20%,0.16343467288328548,0.16591928251121077,0.002484609627925294,223
20%–30%,0.2764264264264264,0.1981981981981982,0.0782282282282282,111
30%–40%,0.37330999445293384,0.4067796610169492,0.03346966656401534,118
40%–50%,0.43917770130136513,0.398876404494382,0.04030129680698313,178
50%–60%,0.516259153452941,0.5528455284552846,0.03658637500234352,123
60%–70%,0.6673746828826637,0.6649746192893401,0.0024000635933235648,197
70%–80%,0.7433985068989529,0.8362068965517241,0.09280838965277116,116
80%–90%,0.8541666666666666,0.8059701492537313,0.04819651741293529,134
90%–100%,0.9623710651691804,0.8260869565217391,0.13628410864744123,23
