,0
1d_ret_1,636
1h_lower_shadow,401
1h_amihud,353
1h_upper_shadow,329
1h_vol_chg,327
1d_macd_hist_chg,325
corr_bnb_24,305
1h_adx,305
btc_ret_lag2,285
1h_tbr_ma_3,284
1h_ret_24,283
1d_lower_shadow,281
hurst,272
1h_price_pos_24,270
1h_tbr_std_3,267
1h_avg_trade_size_norm,264
1h_trade_intensity_chg,263
1h_ret_168,262
1h_vol_rank_6,247
1h_donch_pct,246
autocorr_1,245
corr_sol_24,242
autocorr_3,242
1h_trade_intensity,241
1h_obv_slope,236
1h_ret_6,227
1h_tbr_ma_6,226
1h_price_impact,220
1d_hl_range,214
autocorr_12,214
