label,mean_prob,fraction_pos,calibration_error,count
0%–10%,0.05,,,0
10%–20%,0.15000000000000002,,,0
20%–30%,0.25,0.5,0.25,2
30%–40%,0.30583246507690703,0.3148148148148148,0.008982349737907791,54
40%–50%,0.44838213011530426,0.43738977072310403,0.010992359392200224,567
50%–60%,0.5368826542862642,0.5454545454545454,0.008571891168281165,561
60%–70%,0.6630821472180612,0.6434108527131783,0.01967129450488292,129
70%–80%,0.7261470293736091,1.0,0.2738529706263909,1
80%–90%,0.8500000000000001,,,0
90%–100%,0.95,,,0
