,0
4h_ret_2,632
4h_ema_9_dev,558
4h_price_pos_12,554
1h_ret_3,532
4h_sma_7_dev,528
1h_ret_4,466
4h_ret_1,423
1h_price_pos_48,421
4h_lower_shadow,398
4h_ret_per_trade,384
1d_ret_1,370
4h_ret_4,356
1h_upper_shadow,354
4h_upper_shadow,347
1h_ret_2,331
4h_body,316
1h_price_impact,311
1h_trade_intensity_chg,310
1h_vol_rank_6,310
btc_ret_lag2,308
4h_trade_intensity_chg,306
1h_lower_shadow,305
btc_ret_lag3,303
1h_amihud,300
1h_avg_trade_size_norm,282
4h_stoch_kd_diff,272
1h_ema_21_dev,263
autocorr_24,261
1h_sma_7_dev,258
1h_macd_hist,249
