label,mean_prob,fraction_pos,calibration_error,count
0%–10%,0.03521864051833173,0.0,0.03521864051833173,3
10%–20%,0.18068861134593436,0.14814814814814814,0.032540463197786224,243
20%–30%,0.27547903817105984,0.273972602739726,0.0015064354313338302,73
30%–40%,0.3524184866773638,0.3465346534653465,0.005883833212017298,202
40%–50%,0.4584938870653155,0.5104895104895105,0.051995623424195,143
50%–60%,0.5561619718309859,0.55,0.0061619718309858795,160
60%–70%,0.6261096261096262,0.6309523809523809,0.0048427548427547595,168
70%–80%,0.7779682645727524,0.75,0.027968264572752366,80
80%–90%,0.8142438063023705,0.8571428571428571,0.04289905084048662,49
90%–100%,0.9131202262059173,0.8446601941747572,0.06846003203116002,103
