,0
4h_ret_2,488
4h_price_pos_12,383
4h_ret_per_trade,346
4h_ema_9_dev,342
4h_stoch_kd_diff,337
1h_ret_2,337
4h_ret_1,329
1h_ret_3,328
1h_lower_shadow,286
1h_price_pos_48,285
4h_upper_shadow,274
1h_upper_shadow,274
4h_ret_4,271
1h_ret_8,262
btc_ret_lag2,260
4h_macd_hist_chg,256
1h_price_impact,242
1h_ret_4,240
4h_vol_price_trend,240
1d_stoch_kd_diff,239
1h_vol_ratio_6,239
1h_ret_6,237
1h_stoch_d,232
4h_lower_shadow,230
1h_amihud,230
1h_avg_trade_size,224
1h_price_pos_12,222
rel_strength_btc_24,210
1h_roc_5,208
btc_ret_lag3,208
