label,mean_prob,fraction_pos,calibration_error,count
0%–10%,9.999999999999998e-08,0.0,9.999999999999998e-08,13
10%–20%,0.17200438384377087,0.17316017316017315,0.0011557893164022837,231
20%–30%,0.25,,,0
30%–40%,0.33807596471844514,0.3412969283276451,0.003220963609199934,293
40%–50%,0.4586746550796278,0.3894736842105263,0.06920097086910149,95
50%–60%,0.5816713754467302,0.5775862068965517,0.004085168550178486,116
60%–70%,0.6748633879781418,0.5573770491803278,0.117486338797814,61
70%–80%,0.7244391313836802,0.6721311475409836,0.05230798384269664,122
80%–90%,0.8230734428907707,0.7624521072796935,0.06062133561107719,261
90%–100%,0.9957308966252691,0.875,0.12073089662526915,32
