label,mean_prob,fraction_pos,calibration_error,count
0%–10%,0.0014406109136863425,0.0,0.0014406109136863425,11
10%–20%,0.158172488053317,0.18181818181818182,0.023645693764864834,209
20%–30%,0.2632025713774942,0.3425414364640884,0.07933886508659421,181
30%–40%,0.3936443811306685,0.4126984126984127,0.019054031567744156,189
40%–50%,0.45,,,0
50%–60%,0.527327467985082,0.5529411764705883,0.02561370848550626,170
60%–70%,0.6552141278100841,0.46808510638297873,0.1871290214271054,47
70%–80%,0.7340008284729639,0.6654275092936803,0.06857331917928355,269
80%–90%,0.8559228661956424,0.8529411764705882,0.002981689725054193,136
90%–100%,0.9937095950887115,0.8333333333333334,0.1603762617553781,12
