,0
4h_price_pos_12,603
4h_ret_2,594
1h_ret_3,524
1h_price_pos_48,499
4h_sma_7_dev,462
4h_ema_9_dev,447
1d_vol_price_trend,409
1h_ret_4,403
1h_upper_shadow,403
4h_ret_per_trade,402
1h_sma_7_dev,390
1h_amihud,373
1h_ret_8,364
1h_avg_trade_size,353
4h_ret_1,344
4h_macd_hist_chg,320
4h_body,314
4h_lower_shadow,309
4h_stoch_kd_diff,309
1h_ret_2,304
1h_avg_trade_size_norm,299
1h_rsi_7,290
1h_ret_24,287
1h_hl_range,286
btc_ret_lag2,275
1h_tbr_dev_6,271
1h_tbr_ma_3,269
btc_ret_lag1,269
4h_vol_price_trend,267
4h_ret_4,267
