label,mean_prob,fraction_pos,calibration_error,count
0%–10%,0.034863009184452655,0.17073170731707318,0.13586869813262054,41
10%–20%,0.16568585901280544,0.1729957805907173,0.007309921577911854,237
20%–30%,0.2592867418642198,0.37142857142857144,0.11214182956435165,70
30%–40%,0.3516718731661636,0.3559322033898305,0.004260330223666897,236
40%–50%,0.43442216702635134,0.3170731707317073,0.11734899629464401,41
50%–60%,0.5475502235062961,0.5515695067264574,0.004019283220161318,223
60%–70%,0.6521739130434783,0.5294117647058824,0.12276214833759591,17
70%–80%,0.76582387756167,0.6273291925465838,0.13849468501508622,161
80%–90%,0.856887267693757,0.8229166666666666,0.033970601027090375,192
90%–100%,0.9999999,1.0,9.999999994736442e-08,6
